{'_id': ObjectId('5bd7cf53bc877a065acb4a15'), 'city': '湖州', 'date': '2014-01-02', 'AQI': '234', 'grade': '重度污染', 'PM25': '184', 'PM10': '242', 'SO2': '55', 'CO': '2.0', 'NO2': '133', 'O3_8h': '35'}
{'_id': ObjectId('5bd7cf55bc877a065acb50f6'), 'city': '哈尔滨', 'date': '2014-01-02', 'AQI': '131', 'grade': '轻度污染', 'PM25': '100', 'PM10': '140', 'SO2': '123', 'CO': '1.4', 'NO2': '68', 'O3_8h': '25'}
{'_id': ObjectId('5bd7cf56bc877a065acb57d6'), 'city': '南昌', 'date': '2014-01-02', 'AQI': '171', 'grade': '中度污染', 'PM25': '129', 'PM10': '192', 'SO2': '52', 'CO': '1.9', 'NO2': '73', 'O3_8h': '47'}
{'_id': ObjectId('5bd7cf57bc877a065acb5eb7'), 'city': '天津', 'date': '2014-01-02', 'AQI': '146', 'grade': '轻度污染', 'PM25': '112', 'PM10': '224', 'SO2': '133', 'CO': '3.0', 'NO2': '96', 'O3_8h': '10'}
{'_id': ObjectId('5bd7cf58bc877a065acb6598'), 'city': '杭州', 'date': '2014-01-02', 'AQI': '146', 'grade': '轻度污染', 'PM25': '112', 'PM10': '185', 'SO2': '40', 'CO': '1.5', 'NO2': '95', 'O3_8h': '37'}
{'_id': ObjectId('5bd7cf59bc877a065acb6c79'), 'city': '大连', 'date': '2014-01-02', 'AQI': '72', 'grade': '良', 'PM25': '43', 'PM10': '93', 'SO2': '56', 'CO': '0.8', 'NO2': '42', 'O3_8h': '28'}
{'_id': ObjectId('5bd7cf5abc877a065acb735a'), 'city': '绍兴', 'date': '2014-01-02', 'AQI': '124', 'grade': '轻度污染', 'PM25': '94', 'PM10': '198', 'SO2': '79', 'CO': '1.5', 'NO2': '113', 'O3_8h': '24'}
{'_id': ObjectId('5bd7cf5cbc877a065acb7fb0'), 'city': '上海', 'date': '2014-01-02', 'AQI': '147', 'grade': '轻度污染', 'PM25': '113', 'PM10': '131', 'SO2': '37', 'CO': '1.6', 'NO2': '95', 'O3_8h': '60'}
{'_id': ObjectId('5bd7cf5dbc877a065acb8691'), 'city': '宁波', 'date': '2014-01-02', 'AQI': '89', 'grade': '良', 'PM25': '66', 'PM10': '111', 'SO2': '27', 'CO': '1.3', 'NO2': '68', 'O3_8h': '99'}
{'_id': ObjectId('5bd7cf5ebc877a065acb8d72'), 'city': '深圳', 'date': '2014-01-02', 'AQI': '107', 'grade': '轻度污染', 'PM25': '81', 'PM10': '126', 'SO2': '17', 'CO': '1.4', 'NO2': '77', 'O3_8h': '82'}
{'_id': ObjectId('5bd7cf5fbc877a065acb9453'), 'city': '西安', 'date': '2014-01-02', 'AQI': '117', 'grade': '轻度污染', 'PM25': '89', 'PM10': '178', 'SO2': '66', 'CO': '3.7', 'NO2': '64', 'O3_8h': '22'}
{'_id': ObjectId('5bd7cf60bc877a065acb9b33'), 'city': '武汉', 'date': '2014-01-02', 'AQI': '231', 'grade': '重度污染', 'PM25': '181', 'PM10': '254', 'SO2': '89', 'CO': '2.4', 'NO2': '112', 'O3_8h': '26'}
