{'_id': ObjectId('5bd7cf53bc877a065acb4a17'), 'city': '湖州', 'date': '2014-01-04', 'AQI': '219', 'grade': '重度污染', 'PM25': '169', 'PM10': '238', 'SO2': '78', 'CO': '1.8', 'NO2': '84', 'O3_8h': '31'}
{'_id': ObjectId('5bd7cf55bc877a065acb50f8'), 'city': '哈尔滨', 'date': '2014-01-04', 'AQI': '247', 'grade': '重度污染', 'PM25': '197', 'PM10': '246', 'SO2': '146', 'CO': '2.2', 'NO2': '91', 'O3_8h': '19'}
{'_id': ObjectId('5bd7cf56bc877a065acb57d8'), 'city': '南昌', 'date': '2014-01-04', 'AQI': '93', 'grade': '良', 'PM25': '70', 'PM10': '130', 'SO2': '46', 'CO': '1.1', 'NO2': '39', 'O3_8h': '58'}
{'_id': ObjectId('5bd7cf57bc877a065acb5eb9'), 'city': '天津', 'date': '2014-01-04', 'AQI': '69', 'grade': '良', 'PM25': '50', 'PM10': '73', 'SO2': '120', 'CO': '1.4', 'NO2': '65', 'O3_8h': '22'}
{'_id': ObjectId('5bd7cf58bc877a065acb659a'), 'city': '杭州', 'date': '2014-01-04', 'AQI': '212', 'grade': '重度污染', 'PM25': '162', 'PM10': '249', 'SO2': '78', 'CO': '1.7', 'NO2': '80', 'O3_8h': '40'}
{'_id': ObjectId('5bd7cf59bc877a065acb6c7b'), 'city': '大连', 'date': '2014-01-04', 'AQI': '56', 'grade': '良', 'PM25': '31', 'PM10': '62', 'SO2': '64', 'CO': '0.6', 'NO2': '37', 'O3_8h': '24'}
{'_id': ObjectId('5bd7cf5abc877a065acb735c'), 'city': '绍兴', 'date': '2014-01-04', 'AQI': '269', 'grade': '重度污染', 'PM25': '219', 'PM10': '345', 'SO2': '83', 'CO': '1.9', 'NO2': '99', 'O3_8h': '9'}
{'_id': ObjectId('5bd7cf5cbc877a065acb7fb2'), 'city': '上海', 'date': '2014-01-04', 'AQI': '151', 'grade': '中度污染', 'PM25': '115', 'PM10': '125', 'SO2': '36', 'CO': '1.2', 'NO2': '64', 'O3_8h': '38'}
{'_id': ObjectId('5bd7cf5dbc877a065acb8693'), 'city': '宁波', 'date': '2014-01-04', 'AQI': '189', 'grade': '中度污染', 'PM25': '142', 'PM10': '228', 'SO2': '79', 'CO': '1.7', 'NO2': '81', 'O3_8h': '30'}
{'_id': ObjectId('5bd7cf5ebc877a065acb8d74'), 'city': '深圳', 'date': '2014-01-04', 'AQI': '130', 'grade': '轻度污染', 'PM25': '99', 'PM10': '133', 'SO2': '27', 'CO': '1.5', 'NO2': '48', 'O3_8h': '123'}
{'_id': ObjectId('5bd7cf5fbc877a065acb9455'), 'city': '西安', 'date': '2014-01-04', 'AQI': '112', 'grade': '轻度污染', 'PM25': '74', 'PM10': '173', 'SO2': '67', 'CO': '3.4', 'NO2': '65', 'O3_8h': '23'}
{'_id': ObjectId('5bd7cf60bc877a065acb9b35'), 'city': '武汉', 'date': '2014-01-04', 'AQI': '147', 'grade': '轻度污染', 'PM25': '112', 'PM10': '184', 'SO2': '73', 'CO': '1.6', 'NO2': '87', 'O3_8h': '40'}
{'_id': ObjectId('5bd7cf62bc877a065acba214'), 'city': '厦门', 'date': '2014-01-04', 'AQI': '136', 'grade': '轻度污染', 'PM25': '104', 'PM10': '129', 'SO2': '42', 'CO': '1.3', 'NO2': '80', 'O3_8h': '119'}
{'_id': ObjectId('5bd7cf63bc877a065acba8f5'), 'city': '福州', 'date': '2014-01-04', 'AQI': '121', 'grade': '轻度污染', 'PM25': '92', 'PM10': '119', 'SO2': '30', 'CO': '1.2', 'NO2': '77', 'O3_8h': '64'}
{'_id': ObjectId('5bd7cf64bc877a065acbafd1'), 'city': '广州', 'date': '2014-01-04', 'AQI': '170', 'grade': '中度污染', 'PM25': '129', 'PM10': '159', 'SO2': '40', 'CO': '1.6', 'NO2': '75', 'O3_8h': '113'}
{'_id': ObjectId('5bd7cf65bc877a065acbb6b2'), 'city': '重庆', 'date': '2014-01-04', 'AQI': '206', 'grade': '重度污染', 'PM25': '156', 'PM10': '226', 'SO2': '42', 'CO': '1.7', 'NO2': '55', 'O3_8h': '40'}
{'_id': ObjectId('5bd7cf66bc877a065acbbd93'), 'city': '青岛', 'date': '2014-01-04', 'AQI': '65', 'grade': '良', 'PM25': '38', 'PM10': '80', 'SO2': '58', 'CO': '1.0', 'NO2': '34', 'O3_8h': '40'}
{'_id': ObjectId('5bd7cf67bc877a065acbc474'), 'city': '温州', 'date': '2014-01-04', 'AQI': '175', 'grade': '中度污染', 'PM25': '132', 'PM10': '220', 'SO2': '42', 'CO': '1.6', 'NO2': '107', 'O3_8h': '70'}
