{'_id': ObjectId('5bd7cf53bc877a065acb4a16'), 'city': '湖州', 'date': '2014-01-03', 'AQI': '252', 'grade': '重度污染', 'PM25': '202', 'PM10': '255', 'SO2': '99', 'CO': '1.9', 'NO2': '126', 'O3_8h': '36'}
{'_id': ObjectId('5bd7cf55bc877a065acb50f7'), 'city': '哈尔滨', 'date': '2014-01-03', 'AQI': '191', 'grade': '中度污染', 'PM25': '144', 'PM10': '197', 'SO2': '137', 'CO': '1.7', 'NO2': '73', 'O3_8h': '28'}
{'_id': ObjectId('5bd7cf56bc877a065acb57d7'), 'city': '南昌', 'date': '2014-01-03', 'AQI': '136', 'grade': '轻度污染', 'PM25': '104', 'PM10': '166', 'SO2': '44', 'CO': '1.5', 'NO2': '60', 'O3_8h': '56'}
{'_id': ObjectId('5bd7cf57bc877a065acb5eb8'), 'city': '天津', 'date': '2014-01-03', 'AQI': '109', 'grade': '轻度污染', 'PM25': '83', 'PM10': '148', 'SO2': '108', 'CO': '2.3', 'NO2': '71', 'O3_8h': '25'}
{'_id': ObjectId('5bd7cf58bc877a065acb6599'), 'city': '杭州', 'date': '2014-01-03', 'AQI': '166', 'grade': '中度污染', 'PM25': '126', 'PM10': '198', 'SO2': '52', 'CO': '1.5', 'NO2': '91', 'O3_8h': '62'}
{'_id': ObjectId('5bd7cf59bc877a065acb6c7a'), 'city': '大连', 'date': '2014-01-03', 'AQI': '82', 'grade': '良', 'PM25': '59', 'PM10': '114', 'SO2': '52', 'CO': '0.8', 'NO2': '40', 'O3_8h': '28'}
{'_id': ObjectId('5bd7cf5abc877a065acb735b'), 'city': '绍兴', 'date': '2014-01-03', 'AQI': '225', 'grade': '重度污染', 'PM25': '175', 'PM10': '264', 'SO2': '96', 'CO': '1.7', 'NO2': '117', 'O3_8h': '23'}
{'_id': ObjectId('5bd7cf5cbc877a065acb7fb1'), 'city': '上海', 'date': '2014-01-03', 'AQI': '189', 'grade': '中度污染', 'PM25': '142', 'PM10': '163', 'SO2': '56', 'CO': '1.4', 'NO2': '96', 'O3_8h': '45'}
{'_id': ObjectId('5bd7cf5dbc877a065acb8692'), 'city': '宁波', 'date': '2014-01-03', 'AQI': '186', 'grade': '中度污染', 'PM25': '140', 'PM10': '213', 'SO2': '72', 'CO': '1.7', 'NO2': '117', 'O3_8h': '63'}
{'_id': ObjectId('5bd7cf5ebc877a065acb8d73'), 'city': '深圳', 'date': '2014-01-03', 'AQI': '116', 'grade': '轻度污染', 'PM25': '88', 'PM10': '136', 'SO2': '16', 'CO': '1.5', 'NO2': '85', 'O3_8h': '113'}
{'_id': ObjectId('5bd7cf5fbc877a065acb9454'), 'city': '西安', 'date': '2014-01-03', 'AQI': '92', 'grade': '良', 'PM25': '50', 'PM10': '134', 'SO2': '49', 'CO': '2.7', 'NO2': '52', 'O3_8h': '32'}
