{'_id': ObjectId('5bd7cf6ebc877a065acbf498'), 'city': '南京', 'date': '2014-01-05', 'AQI': '255', 'grade': '重度污染', 'PM25': '205', 'PM10': '333', 'SO2': '55', 'CO': '2.1', 'NO2': '95', 'O3_8h': '35'}
{'_id': ObjectId('5bd7cf70bc877a065acbfb79'), 'city': '东莞', 'date': '2014-01-05', 'AQI': '148', 'grade': '轻度污染', 'PM25': '113', 'PM10': '143', 'SO2': '46', 'CO': '1.5', 'NO2': '69', 'O3_8h': '167'}
{'_id': ObjectId('5bd7cf72bc877a065acc07c9'), 'city': '郑州', 'date': '2014-01-05', 'AQI': '139', 'grade': '轻度污染', 'PM25': '106', 'PM10': '184', 'SO2': '139', 'CO': '3.0', 'NO2': '81', 'O3_8h': '32'}
{'_id': ObjectId('5bd7cf73bc877a065acc0eaa'), 'city': '南通', 'date': '2014-01-05', 'AQI': '100', 'grade': '良', 'PM25': '75', 'PM10': '119', 'SO2': '48', 'CO': '0.8', 'NO2': '53', 'O3_8h': '45'}
{'_id': ObjectId('5bd7cf74bc877a065acc158b'), 'city': '盐城', 'date': '2014-01-05', 'AQI': '84', 'grade': '良', 'PM25': '62', 'PM10': '97', 'SO2': '31', 'CO': '0.8', 'NO2': '34', 'O3_8h': '51'}
{'_id': ObjectId('5bd7cf75bc877a065acc1c6c'), 'city': '苏州', 'date': '2014-01-05', 'AQI': '138', 'grade': '轻度污染', 'PM25': '105', 'PM10': '119', 'SO2': '37', 'CO': '1.1', 'NO2': '80', 'O3_8h': '30'}
{'_id': ObjectId('5bd7cf76bc877a065acc2348'), 'city': '金华', 'date': '2014-01-05', 'AQI': '308', 'grade': '严重污染', 'PM25': '258', 'PM10': '310', 'SO2': '81', 'CO': '1.9', 'NO2': '90', 'O3_8h': '72'}
{'_id': ObjectId('5bd7cf77bc877a065acc2a29'), 'city': '无锡', 'date': '2014-01-05', 'AQI': '154', 'grade': '中度污染', 'PM25': '117', 'PM10': '172', 'SO2': '56', 'CO': '1.3', 'NO2': '84', 'O3_8h': '39'}
{'_id': ObjectId('5bd7cf78bc877a065acc3104'), 'city': '廊坊', 'date': '2014-01-05', 'AQI': '172', 'grade': '中度污染', 'PM25': '130', 'PM10': '165', 'SO2': '68', 'CO': '1.8', 'NO2': '71', 'O3_8h': '54'}
{'_id': ObjectId('5bd7cf79bc877a065acc37e5'), 'city': '沈阳', 'date': '2014-01-05', 'AQI': '121', 'grade': '轻度污染', 'PM25': '92', 'PM10': '134', 'SO2': '199', 'CO': '1.2', 'NO2': '62', 'O3_8h': '30'}
