('太原', [99.5, 163.5, 123.0, 3.05, 42.5, 11.5])
('咸阳', [105.0, 178.0, 71.5, 1.9500000000000002, 36.5, 20.0])
('日照', [106.0, 153.5, 53.0, 1.2, 52.0, 50.5])
('汕尾', [79.5, 115.0, 16.0, 1.25, 23.5, 149.5])
('清远', [177.5, 217.5, 72.0, 2.0, 97.5, 97.0])
('济宁', [174.5, 298.0, 147.5, 2.2, 75.5, 28.0])
('德阳', [89.5, 115.0, 22.5, 2.3, 65.5, 60.0])
('舟山', [27.0, 55.0, 6.0, 0.8500000000000001, 40.5, 70.0])
('邢台', [281.0, 453.5, 216.5, 3.8499999999999996, 103.5, 23.5])
('潍坊', [201.5, 270.0, 91.5, 2.5, 62.5, 22.5])
('肇庆', [195.5, 261.0, 72.5, 1.95, 104.0, 98.5])
('衢州', [150.5, 178.5, 57.0, 1.2, 69.5, 78.5])
('芜湖', [121.0, 176.0, 42.0, 0.8999999999999999, 36.0, 47.5])
('信阳', [275.0, 357.5, 61.0, 2.25, 81.5, 31.5])
('绵阳', [81.0, 94.5, 15.5, 1.05, 49.5, 55.0])
('自贡', [144.5, 185.0, 34.0, 1.15, 29.0, 25.5])
('哈尔滨', [71.0, 95.66666666666667, 100.33333333333333, 1.0666666666666667, 54.0, 31.333333333333332])
('南昌', [69.33333333333333, 84.33333333333333, 26.333333333333332, 1.4000000000000001, 35.0, 33.333333333333336])
('绍兴', [58.0, 80.33333333333333, 40.666666666666664, 0.9666666666666665, 51.0, 45.333333333333336])
('上海', [37.666666666666664, 56.333333333333336, 20.333333333333332, 0.6999999999999998, 38.333333333333336, 60.0])
('西安', [78.0, 156.66666666666666, 81.33333333333333, 2.733333333333333, 57.0, 22.333333333333332])
('武汉', [179.33333333333334, 121.0, 68.0, 2.1, 67.66666666666667, 33.666666666666664])
('厦门', [42.0, 65.0, 20.666666666666668, 0.7999999999999999, 46.333333333333336, 75.0])
('青岛', [69.0, 122.66666666666667, 62.0, 0.9333333333333332, 49.666666666666664, 46.666666666666664])
('泉州', [36.333333333333336, 81.33333333333333, 11.0, 0.9, 30.333333333333332, 61.333333333333336])
('中山', [60.666666666666664, 84.33333333333333, 28.0, 1.2666666666666666, 57.666666666666664, 54.666666666666664])
('北京', [35.0, 55.0, 28.333333333333332, 1.0666666666666667, 42.333333333333336, 41.666666666666664])
('南京', [61.333333333333336, 96.33333333333333, 27.666666666666668, 0.9, 51.333333333333336, 56.333333333333336])
('东莞', [65.0, 72.33333333333333, 24.0, 1.4666666666666668, 48.333333333333336, 70.0])
('郑州', [103.33333333333333, 155.0, 86.0, 2.966666666666667, 64.66666666666667, 22.333333333333332])
('南通', [44.0, 69.33333333333333, 18.666666666666668, 0.6999999999999998, 21.666666666666668, 75.0])
('盐城', [46.333333333333336, 73.66666666666667, 21.333333333333332, 0.6666666666666666, 20.0, 74.33333333333333])
('无锡', [56.0, 84.0, 32.333333333333336, 1.0999999999999999, 52.333333333333336, 42.333333333333336])
('珠海', [62.333333333333336, 84.0, 19.666666666666668, 1.4000000000000001, 75.66666666666667, 81.66666666666667])
('惠州', [51.666666666666664, 76.33333333333333, 19.333333333333332, 1.1666666666666667, 39.333333333333336, 77.66666666666667])
('嘉兴', [49.333333333333336, 69.0, 28.333333333333332, 1.4666666666666668, 45.666666666666664, 69.33333333333333])
('南宁', [90.33333333333333, 124.33333333333333, 38.333333333333336, 1.5, 44.333333333333336, 53.666666666666664])
('合肥', [106.66666666666667, 87.66666666666667, 19.666666666666668, 1.3, 31.666666666666668, 31.0])
('邯郸', [184.66666666666666, 242.0, 121.66666666666667, 3.1666666666666665, 70.33333333333333, 27.0])
('荆州', [164.0, 265.3333333333333, 84.66666666666667, 2.1999999999999997, 55.0, 36.333333333333336])
('太原', [50.666666666666664, 97.0, 88.66666666666667, 2.533333333333333, 31.333333333333332, 27.333333333333332])
('咸阳', [64.33333333333333, 121.33333333333333, 69.0, 1.7333333333333332, 34.0, 38.0])
